Current (A),Voltage (V)
0.0,0.01
0.0,0.03
0.00018181818181818183,-0.010000000000000002
4.545454545454546e-05,0.019999999999999997
4.545454545454546e-05,0.0
0.0,0.02
0.0,0.02
4.545454545454546e-05,0.01
0.0,0.01
4.545454545454546e-05,0.03
0.0,0.03
0.0,0.04
0.0,0.04
4.545454545454546e-05,0.04
0.0,0.05
0.0,0.05
0.0,0.06
4.545454545454546e-05,0.01
0.0,0.06
4.545454545454546e-05,0.049999999999999996
9.090909090909092e-05,0.05
0.0,0.08
4.545454545454546e-05,0.07
0.0,0.06
4.545454545454546e-05,0.07
4.545454545454546e-05,0.07
0.0,0.09
4.545454545454546e-05,0.08
4.545454545454546e-05,0.060000000000000005
0.0,0.09
0.0,0.11
9.090909090909092e-05,0.09
4.545454545454546e-05,0.09000000000000001
0.0,0.09
0.0,0.11
4.545454545454546e-05,0.11
4.545454545454546e-05,0.11
4.545454545454546e-05,0.1
0.0,0.13
0.0,0.13
9.090909090909092e-05,0.12000000000000001
0.0,0.14
0.0,0.14
4.545454545454546e-05,0.13999999999999999
4.545454545454546e-05,0.12000000000000001
4.545454545454546e-05,0.13
4.545454545454546e-05,0.15
4.545454545454546e-05,0.13
4.545454545454546e-05,0.13999999999999999
4.545454545454546e-05,0.15
0.0,0.15
9.090909090909092e-05,0.15000000000000002
4.545454545454546e-05,0.16
4.545454545454546e-05,0.16
4.545454545454546e-05,0.16999999999999998
4.545454545454546e-05,0.16
0.0,0.18
0.0,0.18
0.0,0.19
4.545454545454546e-05,0.16
0.0,0.19
4.545454545454546e-05,0.18
9.090909090909092e-05,0.19
4.545454545454546e-05,0.19999999999999998
4.545454545454546e-05,0.19999999999999998
0.0,0.2
0.0,0.22
0.0,0.22
4.545454545454546e-05,0.21
0.0,0.23
4.545454545454546e-05,0.22
0.0003181818181818182,0.16
0.0,0.25
4.545454545454546e-05,0.22999999999999998
4.545454545454546e-05,0.24
0.0,0.25
4.545454545454546e-05,0.24
4.545454545454546e-05,0.21
4.545454545454546e-05,0.24
9.090909090909092e-05,0.23
0.0,0.27
0.0,0.26
0.0,0.26
0.0,0.27
0.0,0.27
0.0,0.28
0.0,0.28
4.545454545454546e-05,0.27999999999999997
4.545454545454546e-05,0.27
4.545454545454546e-05,0.27999999999999997
0.0,0.3
0.0,0.28
4.545454545454546e-05,0.31
0.0,0.31
4.545454545454546e-05,0.3
4.545454545454546e-05,0.29
0.0,0.31
0.0,0.32
4.545454545454546e-05,0.3
0.0,0.32
0.00013636363636363637,0.29000000000000004
4.545454545454546e-05,0.33
4.545454545454546e-05,0.32
0.0,0.34
0.0,0.34
0.0,0.34
0.0,0.34
4.545454545454546e-05,0.33
9.090909090909092e-05,0.32999999999999996
4.545454545454546e-05,0.33
4.545454545454546e-05,0.35
4.545454545454546e-05,0.36
4.545454545454546e-05,0.36
0.0,0.36
4.545454545454546e-05,0.36
0.00013636363636363637,0.31999999999999995
0.0,0.38
0.0,0.38
4.545454545454546e-05,0.37
0.0,0.39
0.0,0.39
0.0,0.4
0.0,0.39
4.545454545454546e-05,0.39
4.545454545454546e-05,0.38
0.0,0.41
4.545454545454546e-05,0.39999999999999997
0.0,0.41
9.090909090909092e-05,0.38999999999999996
0.0,0.42
4.545454545454546e-05,0.41
0.0,0.43
0.0003181818181818182,0.35
0.0,0.43
4.545454545454546e-05,0.42
0.0,0.44
0.0,0.45
4.545454545454546e-05,0.44
0.0,0.44
4.545454545454546e-05,0.44
0.0,0.45
0.0,0.46
0.0,0.45
4.545454545454546e-05,0.48
0.0,0.46
4.545454545454546e-05,0.45999999999999996
0.0,0.47
9.090909090909092e-05,0.45999999999999996
0.0,0.48
0.0,0.47
0.0,0.48
0.0,0.49
0.0,0.53
0.0,0.49
0.0,0.51
0.0,0.51
0.0,0.5
4.545454545454546e-05,0.51
0.0,0.49
0.0,0.52
9.090909090909092e-05,0.52
0.0,0.49
0.0,0.5
4.545454545454546e-05,0.52
4.545454545454546e-05,0.53
9.090909090909092e-05,0.5
0.0,0.54
0.0,0.54
4.545454545454546e-05,0.54
0.00013636363636363637,0.52
0.0,0.55
4.545454545454546e-05,0.54
4.545454545454546e-05,0.54
4.545454545454546e-05,0.57
0.0,0.56
0.0,0.56
9.090909090909092e-05,0.54
0.0,0.58
0.0,0.57
0.0,0.58
4.545454545454546e-05,0.57
0.0,0.58
4.545454545454546e-05,0.57
0.0,0.59
0.0,0.65
4.545454545454546e-05,0.59
0.0,0.6
0.0,0.61
0.0,0.61
4.545454545454546e-05,0.58
0.0,0.62
9.090909090909092e-05,0.6
0.0,0.62
4.545454545454546e-05,0.61
0.0,0.62
4.545454545454546e-05,0.63
4.545454545454546e-05,0.63
0.00013636363636363637,0.6
9.090909090909092e-05,0.62
0.0,0.64
0.0,0.63
4.545454545454546e-05,0.64
0.0,0.65
0.0,0.66
4.545454545454546e-05,0.66
4.545454545454546e-05,0.65
4.545454545454546e-05,0.6799999999999999
0.0,0.67
0.0,0.67
0.0,0.68
0.00013636363636363637,0.65
4.545454545454546e-05,0.6799999999999999
0.0,0.69
4.545454545454546e-05,0.6799999999999999
0.0,0.7
0.0,0.69
4.545454545454546e-05,0.6799999999999999
0.0,0.7
9.090909090909092e-05,0.6799999999999999
0.0,0.71
4.545454545454546e-05,0.7
4.545454545454546e-05,0.7
0.0,0.72
9.090909090909092e-05,0.7
0.0,0.73
0.0,0.73
9.090909090909092e-05,0.71
0.0,0.74
0.0,0.74
0.00022727272727272727,0.69
4.545454545454546e-05,0.74
0.0,0.75
0.0,0.75
0.0,0.76
4.545454545454546e-05,0.75
4.545454545454546e-05,0.74
4.545454545454546e-05,0.75
4.545454545454546e-05,0.75
0.0,0.77
0.0,0.77
0.0,0.76
0.0,0.78
0.0,0.78
0.0,0.78
4.545454545454546e-05,0.78
0.0,0.8
4.545454545454546e-05,0.78
0.0,0.81
4.545454545454546e-05,0.84
0.0,0.81
4.545454545454546e-05,0.79
0.0,0.82
0.0,0.82
0.0,0.81
4.545454545454546e-05,0.76
0.0,0.83
0.0,0.83
0.0,0.83
0.0,0.84
0.00027272727272727274,0.78
9.090909090909092e-05,0.82
0.0,0.85
4.545454545454546e-05,0.83
4.545454545454546e-05,0.85
0.0,0.85
0.0,0.81
0.0,0.86
0.0,0.86
0.0,0.87
4.545454545454546e-05,0.85
0.0,0.87
0.0,0.87
0.0,0.87
0.0,0.88
4.545454545454546e-05,0.88
0.0,0.89
0.0,0.89
0.0,0.9
0.0,0.89
0.0,0.9
0.00013636363636363637,0.88
0.0,0.9
0.0,0.91
4.545454545454546e-05,0.9
4.545454545454546e-05,0.91
0.0,0.92
4.545454545454546e-05,0.91
4.545454545454546e-05,0.88
0.0,0.9
0.0,0.91
0.0,0.91
0.0,0.93
0.0,0.94
0.0,0.93
4.545454545454546e-05,0.94
0.0,0.96
4.545454545454546e-05,0.99
9.090909090909092e-05,0.94
4.545454545454546e-05,0.96
0.0,0.96
0.0,0.97
0.0,0.97
0.0,0.95
4.545454545454546e-05,0.97
4.545454545454546e-05,0.96
4.545454545454546e-05,0.98
0.0,0.99
4.545454545454546e-05,0.98
0.0,0.99
4.545454545454546e-05,0.99
4.545454545454546e-05,0.98
0.0,0.98
4.545454545454546e-05,1.0
0.00027272727272727274,0.95
0.0,1.01
4.545454545454546e-05,1.01
0.0,1.03
0.00036363636363636367,0.9400000000000001
4.545454545454546e-05,1.01
0.0,1.01
0.0,1.04
4.545454545454546e-05,1.03
0.0,1.04
0.0,1.05
0.0,1.04
4.545454545454546e-05,1.04
0.0,1.05
4.545454545454546e-05,1.05
4.545454545454546e-05,1.04
0.0,1.06
4.545454545454546e-05,1.06
0.0,1.06
9.090909090909092e-05,1.05
0.0,1.06
4.545454545454546e-05,1.07
4.545454545454546e-05,1.07
0.0,1.09
0.0,1.08
0.0,1.09
0.0,1.09
0.0,1.1
0.0,1.1
4.545454545454546e-05,1.1
4.545454545454546e-05,1.07
4.545454545454546e-05,1.1
9.090909090909092e-05,1.1
0.0,1.12
4.545454545454546e-05,1.11
0.0,1.12
4.545454545454546e-05,1.1199999999999999
4.545454545454546e-05,1.1199999999999999
4.545454545454546e-05,1.1199999999999999
4.545454545454546e-05,1.13
4.545454545454546e-05,1.13
4.545454545454546e-05,1.13
4.545454545454546e-05,1.14
0.0,1.15
0.0,1.15
0.0,1.15
0.0,1.15
0.0,1.15
4.545454545454546e-05,1.14
4.545454545454546e-05,1.15
0.0,1.18
4.545454545454546e-05,1.15
0.0,1.15
4.545454545454546e-05,1.17
4.545454545454546e-05,1.17
4.545454545454546e-05,1.16
0.0,1.19
0.0,1.2
0.0,1.19
0.0,1.2
0.0,1.2
0.0,1.21
0.0,1.21
0.0,1.21
4.545454545454546e-05,1.2
0.0,1.24
4.545454545454546e-05,1.21
4.545454545454546e-05,1.22
0.0,1.23
0.0,1.23
0.0,1.26
0.0,1.24
4.545454545454546e-05,1.22
0.0,1.23
0.0,1.25
0.0,1.25
4.545454545454546e-05,1.24
0.00018181818181818183,1.22
0.0,1.25
0.0003181818181818182,1.19
0.0,1.27
0.0,1.27
0.0,1.28
0.0,1.27
0.0,1.28
0.0,1.26
4.545454545454546e-05,1.28
0.0,1.29
0.0,1.29
0.0,1.29
0.0,1.3
0.0,1.31
4.545454545454546e-05,1.3
4.545454545454546e-05,1.3
4.545454545454546e-05,1.3
9.090909090909092e-05,1.3
0.0,1.32
0.0,1.32
4.545454545454546e-05,1.31
4.545454545454546e-05,1.3699999999999999
4.545454545454546e-05,1.32
0.0,1.34
0.0,1.34
4.545454545454546e-05,1.34
9.090909090909092e-05,1.32
4.545454545454546e-05,1.34
0.0,1.35
4.545454545454546e-05,1.34
4.545454545454546e-05,1.34
4.545454545454546e-05,1.35
0.0,1.36
0.0,1.37
0.0,1.37
0.0,1.41
0.0,1.38
4.545454545454546e-05,1.3699999999999999
0.0,1.38
0.0,1.34
0.0,1.4
0.0,1.39
0.0,1.39
0.0,1.38
0.0,1.4
0.0,1.41
4.545454545454546e-05,1.41
0.0,1.41
4.545454545454546e-05,1.4
9.090909090909092e-05,1.4
4.545454545454546e-05,1.41
4.545454545454546e-05,1.42
0.0,1.43
4.545454545454546e-05,1.42
4.545454545454546e-05,1.42
0.0,1.44
0.0,1.44
9.090909090909092e-05,1.41
0.0,1.49
0.00013636363636363637,1.42
4.545454545454546e-05,1.44
0.0,1.46
0.0,1.46
4.545454545454546e-05,1.43
0.0,1.47
0.0,1.47
0.0,1.47
4.545454545454546e-05,1.46
0.0,1.48
4.545454545454546e-05,1.47
4.545454545454546e-05,1.47
4.545454545454546e-05,1.48
4.545454545454546e-05,1.46
4.545454545454546e-05,1.49
0.0,1.49
0.0,1.51
0.0,1.5
0.0,1.51
0.0,1.52
0.0,1.51
4.545454545454546e-05,1.51
0.0,1.49
0.0,1.53
0.0,1.52
0.0,1.58
4.545454545454546e-05,1.5
4.545454545454546e-05,1.52
0.0,1.53
9.090909090909092e-05,1.52
4.545454545454546e-05,1.53
0.0,1.55
0.0,1.55
0.0,1.55
4.545454545454546e-05,1.52
4.545454545454546e-05,1.56
0.0,1.56
0.0,1.57
0.0,1.57
0.0,1.57
4.545454545454546e-05,1.57
0.0,1.56
4.545454545454546e-05,1.58
0.0,1.58
0.0,1.59
4.545454545454546e-05,1.58
4.545454545454546e-05,1.59
4.545454545454546e-05,1.59
9.090909090909092e-05,1.58
4.545454545454546e-05,1.6
4.545454545454546e-05,1.6
0.00013636363636363637,1.58
0.0,1.66
4.545454545454546e-05,1.61
4.545454545454546e-05,1.61
0.0,1.64
4.545454545454546e-05,1.6199999999999999
0.0,1.64
4.545454545454546e-05,1.64
0.0,1.64
4.545454545454546e-05,1.64
0.0,1.65
9.090909090909092e-05,1.63
4.545454545454546e-05,1.65
4.545454545454546e-05,1.65
9.090909090909092e-05,1.6199999999999999
4.545454545454546e-05,1.64
4.545454545454546e-05,1.66
9.090909090909092e-05,1.65
4.545454545454546e-05,1.66
4.545454545454546e-05,1.66
9.090909090909092e-05,1.63
4.545454545454546e-05,1.7
0.0,1.68
4.545454545454546e-05,1.67
9.090909090909092e-05,1.67
9.090909090909092e-05,1.68
9.090909090909092e-05,1.68
4.545454545454546e-05,1.69
4.545454545454546e-05,1.69
